,rank,id,show_id,title,rating,year
0,6,tt0108052,60036359,Schindler's List,8.9,1993
1,7,tt0167260,60004484,The Lord of the Rings: The Return of the King,8.9,2003
2,8,tt0110912,880640,Pulp Fiction,8.8,1994
3,13,tt1375666,70131314,Inception,8.7,2010
4,15,tt0167261,60004483,The Lord of the Rings: The Two Towers,8.7,2002
5,16,tt0133093,20557937,The Matrix,8.6,1999
6,22,tt0317248,60026106,City of God,8.6,2002
7,35,tt0120586,18002692,American History X,8.5,1998
8,43,tt0407887,70044689,The Departed,8.5,2006
9,47,tt0064116,60031884,Once Upon a Time in the West,8.5,1968
10,52,tt7286456,70219529,Joker,8.4,2019
11,58,tt0405094,70056425,The Lives of Others,8.4,2006
12,62,tt4154756,80219127,Avengers: Infinity War,8.4,2018
13,65,tt4633694,81002747,Spider-Man: Into the Spider-Verse,8.4,2018
14,77,tt0169547,60000407,American Beauty,8.3,1999
15,80,tt1187043,70121522,3 Idiots,8.3,2009
16,88,tt0361748,70108777,Inglourious Basterds,8.3,2009
17,94,tt5074352,80166185,Dangal,8.3,2016
18,98,tt2106476,80097726,The Hunt,8.3,2012
19,107,tt0075314,18907685,Taxi Driver,8.2,1976
20,115,tt1832382,70175439,A Separation,8.2,2011
21,117,tt0053604,80989867,The Apartment,8.2,1960
22,120,tt0097576,60010487,Indiana Jones and the Last Crusade,8.2,1989
23,124,tt0071853,771476,Monty Python and the Holy Grail,8.2,1975
24,141,tt0457430,70050507,Pan's Labyrinth,8.2,2006
25,145,tt0120735,16944044,"Lock, Stock and Two Smoking Barrels",8.2,1998
26,146,tt0081398,70020699,Raging Bull,8.2,1980
27,156,tt0434409,70039175,V for Vendetta,8.1,2005
28,159,tt1291584,80193978,Warrior,8.1,2011
29,162,tt0117951,60037022,Trainspotting,8.1,1996
30,167,tt3170832,80073823,Room,8.1,2015
31,176,tt0266697,60031236,Kill Bill: Vol. 1,8.1,2003
32,183,tt4729430,80183187,Klaus,8.1,2019
33,185,tt8108198,81039381,Andhadhun,8.1,2018
34,193,tt0060827,80163530,Persona,8.1,1966
35,193,tt0060827,81044884,Persona,8.1,1966
36,196,tt0264464,60024942,Catch Me If You Can,8.1,2002
37,211,tt0079470,699257,Monty Python's Life of Brian,8.1,1979
38,226,tt0405508,70047320,Rang De Basanti,8.0,2006
39,228,tt0075148,915927,Rocky,8.0,1976
40,240,tt4857264,80093106,The Invisible Guest,8.0,2016
41,241,tt4430212,80068117,Drishyam,8.0,2015
