,rank,id,title,rating,year
0,9,tt0060196,"The Good, the Bad and the Ugly",8.8,1966
1,24,tt0038650,It's a Wonderful Life,8.6,1946
2,36,tt0253474,The Pianist,8.5,2002
3,47,tt0064116,Once Upon a Time in the West,8.5,1968
4,75,tt0066763,Anand,8.3,1971
5,80,tt1187043,3 Idiots,8.3,2009
6,103,tt0012349,The Kid,8.2,1921
7,132,tt0363163,Downfall,8.2,2004
8,134,tt0053291,Some Like It Hot,8.2,1959
9,137,tt0057115,The Great Escape,8.2,1963
10,159,tt1291584,Warrior,8.1,2011
11,197,tt0017925,The General,8.1,1926
12,223,tt0245712,Amores Perros,8.0,2000
13,224,tt4016934,The Handmaiden,8.0,2016
